                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    149,                0.23354,                0.38924,                 1.0321,                0.86404,                0.76532,                0.88777,                0.53794,                0.24515,                0.51041,                   1.22,               0.006337,               0.006337,               0.006337
                    150,                 0.2308,                0.38959,                 1.0423,                0.78025,                 0.8209,                0.87682,                0.50661,                0.26471,                0.56316,                 1.2573,              0.0063122,              0.0063122,              0.0063122
                    151,                0.22573,                0.38503,                 1.0315,                0.81541,                 0.7791,                0.86818,                0.51495,                0.24716,                0.52201,                 1.2245,              0.0062875,              0.0062875,              0.0062875
                    152,                   0.23,                0.38591,                 1.0418,                0.76051,                0.83359,                0.87687,                0.51279,                0.26962,                0.52393,                  1.251,              0.0062628,              0.0062628,              0.0062628
                    153,                0.23484,                0.37345,                 1.0515,                0.81214,                 0.7492,                0.86366,                0.51448,                0.25026,                0.53107,                 1.2291,               0.006238,               0.006238,               0.006238
                    154,                0.23469,                0.38077,                 1.0214,                 0.8386,                 0.7269,                 0.8622,                0.52157,                0.25307,                0.60352,                 1.2477,              0.0062132,              0.0062132,              0.0062132
                    155,                0.23222,                 0.3812,                 1.0408,                0.81695,                0.74825,                0.86216,                0.50771,                0.25226,                0.57193,                 1.2458,              0.0061885,              0.0061885,              0.0061885
                    156,                0.22785,                0.37447,                 1.0293,                0.82436,                0.74758,                0.86382,                0.51131,                0.25094,                0.55754,                 1.2399,              0.0061637,              0.0061637,              0.0061637
                    157,                0.22452,                0.38129,                 1.0361,                0.77982,                0.78146,                0.85082,                0.51659,                0.25015,                0.61667,                 1.2232,               0.006139,               0.006139,               0.006139
                    158,                0.22649,                0.38264,                 1.0292,                0.76623,                0.79317,                0.85607,                0.49326,                 0.2799,                0.58618,                 1.2921,              0.0061142,              0.0061142,              0.0061142
                    159,                0.23455,                0.36192,                 1.0312,                0.80347,                0.80473,                0.87401,                0.52703,                0.24443,                0.56088,                 1.2182,              0.0060895,              0.0060895,              0.0060895
                    160,                 0.2306,                0.37098,                 1.0167,                0.80264,                0.77199,                 0.8565,                0.52266,                0.25358,                 0.6211,                 1.2258,              0.0060647,              0.0060647,              0.0060647
                    161,                0.23257,                0.37107,                 1.0261,                0.77439,                0.76207,                0.85217,                0.51124,                0.26038,                0.62513,                 1.2462,                0.00604,                0.00604,                0.00604
                    162,                0.22691,                0.38255,                 1.0264,                0.72514,                0.82434,                 0.8524,                0.50386,                0.26253,                0.58727,                 1.2477,              0.0060152,              0.0060152,              0.0060152
                    163,                 0.2366,                0.36588,                 1.0303,                0.83912,                0.77424,                0.88043,                0.53688,                0.24703,                0.55286,                 1.2147,              0.0059905,              0.0059905,              0.0059905
                    164,                 0.2265,                0.36822,                 1.0205,                0.81157,                0.78407,                0.87028,                0.52399,                0.25637,                0.56549,                 1.2356,              0.0059658,              0.0059658,              0.0059658
                    165,                0.23061,                0.36898,                  1.024,                0.79569,                0.81418,                0.87924,                0.53263,                0.24403,                0.52621,                 1.2092,               0.005941,               0.005941,               0.005941
                    166,                0.22931,                0.36048,                 1.0275,                0.76969,                0.79983,                0.86243,                0.51786,                 0.2523,                0.58175,                 1.2381,              0.0059163,              0.0059163,              0.0059163
                    167,                0.23864,                0.36648,                  1.027,                0.80611,                0.77128,                0.86218,                0.51591,                0.25496,                0.60033,                 1.2504,              0.0058915,              0.0058915,              0.0058915
                    168,                0.22443,                 0.3596,                  1.016,                0.79708,                0.80594,                0.87882,                0.52339,                0.24647,                 0.5521,                  1.233,              0.0058668,              0.0058668,              0.0058668
                    169,                0.23381,                0.36039,                 1.0265,                0.84171,                0.79722,                0.88402,                0.53797,                0.23726,                 0.5237,                 1.1976,               0.005842,               0.005842,               0.005842
                    170,                0.22966,                0.36271,                 1.0324,                0.77748,                0.80562,                0.86977,                0.51655,                0.25663,                0.51619,                 1.2438,              0.0058173,              0.0058173,              0.0058173
                    171,                0.22323,                0.36422,                 1.0176,                0.83587,                0.77344,                 0.8692,                 0.5308,                0.23656,                 0.5768,                 1.2026,              0.0057925,              0.0057925,              0.0057925
                    172,                0.23237,                0.36003,                 1.0217,                  0.816,                0.78246,                0.86513,                0.50096,                0.26562,                0.53598,                 1.2592,              0.0057678,              0.0057678,              0.0057678
                    173,                0.23022,                0.36366,                 1.0138,                0.80975,                0.76281,                0.87623,                0.53032,                0.24529,                 0.5146,                 1.2101,               0.005743,               0.005743,               0.005743
                    174,                0.22733,                0.36554,                 1.0102,                0.74538,                0.83681,                0.87553,                0.52432,                 0.2488,                0.52617,                 1.2408,              0.0057183,              0.0057183,              0.0057183
                    175,                0.23085,                0.34659,                 1.0173,                0.80106,                0.81453,                0.88214,                0.52078,                0.24284,                0.51381,                   1.22,              0.0056935,              0.0056935,              0.0056935
                    176,                0.22267,                0.34663,                 1.0201,                0.76687,                0.81129,                0.86662,                0.52001,                0.24558,                0.55772,                 1.2212,              0.0056688,              0.0056688,              0.0056688
                    177,                0.22512,                0.34601,                 1.0288,                0.84303,                0.74546,                0.86734,                0.52537,                0.25914,                0.51958,                 1.2389,               0.005644,               0.005644,               0.005644
                    178,                0.22519,                0.35255,                 1.0243,                0.80568,                 0.7892,                0.87316,                0.53971,                0.22947,                 0.5285,                 1.1795,              0.0056193,              0.0056193,              0.0056193
                    179,                0.22608,                 0.3458,                 1.0174,                0.83891,                0.78958,                0.87772,                0.53427,                0.24729,                0.53808,                 1.2118,              0.0055945,              0.0055945,              0.0055945
                    180,                0.21988,                0.33669,                 1.0167,                0.80833,                0.73511,                0.84726,                0.50861,                0.24954,                 0.6414,                 1.2263,              0.0055698,              0.0055698,              0.0055698
                    181,                0.23582,                0.34099,                 1.0149,                0.78976,                 0.7948,                0.85009,                0.51159,                 0.2376,                0.62983,                 1.2054,               0.005545,               0.005545,               0.005545
