                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.33216,                0.73336,                 1.2453,                0.67384,                0.68127,                0.72952,                0.35219,                0.33759,                0.80749,                 1.5074,              0.0091337,              0.0091337,              0.0091337
                     37,                 0.3292,                0.71221,                 1.2557,                0.77899,                0.70904,                0.80466,                 0.3194,                 0.3623,                0.70668,                 1.5438,               0.009109,               0.009109,               0.009109
                     38,                0.34284,                0.67824,                 1.2622,                0.63786,                0.72915,                0.74394,                0.36498,                0.35675,                0.71953,                 1.5569,              0.0090843,              0.0090843,              0.0090843
                     39,                0.33846,                0.70204,                 1.2522,                 0.6741,                0.70412,                0.75088,                0.38126,                0.33204,                0.75814,                 1.5064,              0.0090595,              0.0090595,              0.0090595
                     40,                0.31818,                0.68903,                 1.2414,                0.77078,                0.69556,                 0.7894,                0.34334,                0.35457,                0.70487,                 1.5293,              0.0090347,              0.0090347,              0.0090347
                     41,                0.32006,                0.69771,                 1.2507,                0.71273,                0.73307,                0.79251,                 0.4059,                0.31541,                0.64632,                 1.4256,                0.00901,                0.00901,                0.00901
                     42,                0.31772,                0.69025,                 1.2244,                0.73389,                0.77139,                0.82008,                0.39382,                0.31568,                0.64884,                 1.4398,              0.0089853,              0.0089853,              0.0089853
                     43,                0.32058,                0.65895,                  1.219,                0.68084,                0.73638,                0.76523,                0.37973,                0.34219,                 0.7159,                 1.4973,              0.0089605,              0.0089605,              0.0089605
                     44,                0.31223,                0.66892,                 1.2115,                0.62899,                   0.68,                0.71027,                 0.3427,                0.35167,                0.80904,                 1.5297,              0.0089358,              0.0089358,              0.0089358
                     45,                0.30052,                0.66626,                 1.1948,                0.78866,                0.71615,                0.81762,                 0.4036,                0.32105,                0.64181,                 1.4556,               0.008911,               0.008911,               0.008911
                     46,                0.31532,                0.66802,                 1.2263,                0.74743,                0.71475,                 0.8073,                0.42654,                0.32539,                 0.6263,                 1.4606,              0.0088863,              0.0088863,              0.0088863
                     47,                0.29903,                0.67665,                 1.2023,                0.73253,                0.74875,                0.81574,                0.42323,                 0.3006,                0.74819,                 1.3903,              0.0088615,              0.0088615,              0.0088615
                     48,                0.30159,                0.65902,                 1.1981,                0.73984,                0.74366,                0.83441,                0.40151,                0.32993,                0.69656,                 1.4791,              0.0088368,              0.0088368,              0.0088368
                     49,                0.30942,                0.65377,                 1.2088,                0.69076,                0.72195,                0.77896,                0.41004,                0.31392,                0.64972,                 1.4311,               0.008812,               0.008812,               0.008812
                     50,                0.28875,                0.65829,                  1.178,                0.69352,                0.76238,                0.79945,                0.40115,                0.32717,                0.68072,                 1.4258,              0.0087872,              0.0087872,              0.0087872
                     51,                0.31689,                0.63667,                 1.2046,                0.78302,                0.74101,                0.83892,                0.43547,                0.29244,                 0.5858,                 1.3638,              0.0087625,              0.0087625,              0.0087625
                     52,                 0.3069,                 0.6415,                 1.1911,                0.75785,                0.75309,                0.82886,                0.44484,                0.28872,                0.61563,                 1.3625,              0.0087378,              0.0087378,              0.0087378
                     53,                 0.2975,                0.62563,                 1.1854,                0.79766,                0.72899,                0.83676,                0.44095,                0.30948,                0.69492,                 1.3931,               0.008713,               0.008713,               0.008713
                     54,                0.29649,                0.63628,                 1.1891,                0.69703,                0.80429,                0.81336,                0.44185,                0.30389,                0.65415,                 1.3836,              0.0086882,              0.0086882,              0.0086882
                     55,                 0.2996,                0.63406,                 1.1856,                0.79948,                0.73658,                 0.8523,                0.45921,                0.29294,                0.62975,                 1.3437,              0.0086635,              0.0086635,              0.0086635
                     56,                 0.2846,                0.61233,                 1.1675,                 0.7875,                0.79505,                0.86742,                0.45682,                0.29148,                0.55994,                 1.3593,              0.0086388,              0.0086388,              0.0086388
                     57,                 0.2827,                  0.616,                 1.1778,                0.72396,                0.81507,                0.84154,                0.44823,                0.29682,                0.59659,                 1.3713,               0.008614,               0.008614,               0.008614
                     58,                0.28848,                0.60593,                 1.1716,                0.78118,                0.79366,                0.85514,                0.44148,                0.29307,                  0.588,                 1.3626,              0.0085893,              0.0085893,              0.0085893
                     59,                0.28045,                 0.6113,                 1.1608,                0.79116,                0.79338,                 0.8662,                0.43952,                0.28703,                0.55284,                 1.3592,              0.0085645,              0.0085645,              0.0085645
                     60,                0.29651,                0.61292,                 1.1749,                0.77547,                0.77084,                0.84638,                0.44374,                0.29962,                0.57425,                 1.3637,              0.0085398,              0.0085398,              0.0085398
                     61,                0.28395,                0.62112,                 1.1561,                0.78195,                0.77117,                0.85282,                0.46174,                0.28808,                0.65257,                 1.3298,               0.008515,               0.008515,               0.008515
                     62,                0.29627,                0.60532,                 1.1631,                0.73252,                0.77552,                0.83645,                0.44392,                0.30908,                0.60357,                 1.4033,              0.0084903,              0.0084903,              0.0084903
                     63,                0.28314,                0.60486,                 1.1689,                0.82903,                0.76306,                0.87678,                0.46416,                0.28912,                0.53589,                 1.3424,              0.0084655,              0.0084655,              0.0084655
                     64,                0.29717,                0.58375,                 1.1683,                 0.7859,                0.84269,                0.88705,                0.47446,                0.27659,                0.51352,                 1.3354,              0.0084408,              0.0084408,              0.0084408
                     65,                0.28414,                0.58596,                   1.16,                0.73803,                0.80832,                0.85053,                0.45479,                0.30022,                0.52731,                 1.3773,               0.008416,               0.008416,               0.008416
                     66,                0.27197,                0.60735,                   1.14,                0.79244,                0.81723,                0.88785,                 0.4769,                0.28303,                0.53876,                  1.323,              0.0083913,              0.0083913,              0.0083913
                     67,                0.29274,                0.60477,                 1.1557,                0.78409,                0.82249,                0.87494,                0.46838,                0.28056,                0.55179,                 1.3304,              0.0083665,              0.0083665,              0.0083665
                     68,                0.28789,                0.60604,                 1.1398,                0.71207,                0.77733,                0.81894,                0.44754,                0.28672,                0.62781,                 1.3429,              0.0083418,              0.0083418,              0.0083418
                     69,                0.28854,                0.59379,                 1.1523,                0.77958,                0.77082,                0.85986,                0.46804,                0.29067,                0.57107,                 1.3432,               0.008317,               0.008317,               0.008317
                     70,                0.28034,                0.59274,                 1.1368,                 0.7894,                0.78579,                0.86456,                0.45246,                0.30903,                0.54901,                 1.3819,              0.0082922,              0.0082922,              0.0082922
                     71,                0.28941,                0.60101,                 1.1479,                0.77664,                0.80161,                 0.8525,                0.48112,                0.27787,                 0.5547,                 1.3203,              0.0082675,              0.0082675,              0.0082675
                     72,                0.28536,                 0.5735,                   1.14,                0.84929,                0.75014,                 0.8778,                0.48425,                0.27235,                0.58165,                 1.3021,              0.0082428,              0.0082428,              0.0082428
                     73,                 0.2719,                0.57417,                 1.1281,                0.80502,                0.77278,                0.86885,                0.45695,                0.28865,                0.57583,                 1.3405,               0.008218,               0.008218,               0.008218
                     74,                0.26502,                0.56286,                 1.1256,                0.81523,                0.74903,                0.86628,                0.48671,                0.27118,                0.55731,                  1.296,              0.0081932,              0.0081932,              0.0081932
                     75,                0.27461,                0.55963,                 1.1478,                0.78257,                0.85853,                 0.8857,                0.48694,                0.26738,                0.50722,                 1.2886,              0.0081685,              0.0081685,              0.0081685
                     76,                0.26748,                0.56577,                 1.1127,                0.78752,                0.73316,                 0.8438,                0.46805,                0.28144,                0.61207,                 1.3289,              0.0081437,              0.0081437,              0.0081437
                     77,                0.26896,                0.57009,                 1.1309,                0.80345,                0.79724,                 0.8678,                0.48429,                0.28064,                0.56981,                 1.3127,               0.008119,               0.008119,               0.008119
                     78,                0.27856,                0.55322,                   1.12,                0.79988,                 0.8164,                0.88003,                0.48882,                0.27398,                0.51756,                 1.2971,              0.0080942,              0.0080942,              0.0080942
                     79,                0.27315,                0.56106,                 1.1214,                0.77788,                0.81305,                0.87549,                0.48084,                0.26981,                0.52989,                 1.2974,              0.0080695,              0.0080695,              0.0080695
                     80,                0.27193,                0.54954,                 1.1158,                0.77553,                0.77027,                 0.8447,                0.45479,                0.30249,                0.57734,                 1.3552,              0.0080447,              0.0080447,              0.0080447
                     81,                0.27314,                0.53776,                 1.1426,                0.77773,                0.75423,                0.83905,                0.46005,                0.29425,                0.57763,                 1.3425,                0.00802,                0.00802,                0.00802
                     82,                0.26512,                0.55352,                 1.1164,                0.81491,                0.79022,                0.87339,                0.49565,                  0.267,                0.51186,                 1.2812,              0.0079953,              0.0079953,              0.0079953
                     83,                0.27135,                0.54678,                 1.1315,                0.83581,                0.80174,                0.88613,                0.50028,                0.26293,                0.56785,                 1.2721,              0.0079705,              0.0079705,              0.0079705
                     84,                 0.2715,                0.56466,                 1.1219,                0.79479,                 0.7883,                0.86978,                0.48691,                0.28933,                 0.5359,                 1.3508,              0.0079457,              0.0079457,              0.0079457
                     85,                 0.2766,                  0.538,                 1.1201,                0.84695,                0.81645,                0.90558,                0.52302,                0.26107,                0.48397,                 1.2592,               0.007921,               0.007921,               0.007921
                     86,                0.27033,                0.54443,                 1.1134,                0.80661,                0.78306,                0.84665,                0.43076,                0.32837,                 0.5391,                 1.4449,              0.0078963,              0.0078963,              0.0078963
                     87,                0.27505,                0.55541,                 1.1188,                0.80179,                0.81074,                0.87911,                0.48478,                 0.2728,                0.50167,                 1.3025,              0.0078715,              0.0078715,              0.0078715
                     88,                0.27708,                0.53225,                 1.1174,                 0.8267,                0.79303,                0.87088,                0.47508,                0.29818,                0.52473,                 1.3398,              0.0078467,              0.0078467,              0.0078467
                     89,                0.26413,                0.53182,                 1.1022,                0.73376,                0.76595,                 0.8322,                 0.4193,                0.33469,                0.62791,                 1.4514,               0.007822,               0.007822,               0.007822
                     90,                0.25909,                0.52904,                 1.0948,                0.80486,                0.81975,                0.88228,                0.48063,                0.28441,                0.49836,                  1.324,              0.0077973,              0.0077973,              0.0077973
                     91,                0.24964,                0.52961,                 1.0965,                0.84087,                0.80699,                0.89048,                0.51357,                0.26375,                0.49488,                 1.2689,              0.0077725,              0.0077725,              0.0077725
                     92,                0.25757,                  0.528,                 1.0885,                0.76337,                 0.7974,                 0.8718,                0.48187,                0.28188,                0.57849,                 1.3083,              0.0077478,              0.0077478,              0.0077478
                     93,                 0.2572,                0.52912,                 1.0861,                0.85044,                0.74734,                0.88404,                0.50325,                 0.2702,                0.53003,                 1.2785,               0.007723,               0.007723,               0.007723
                     94,                 0.2695,                0.52001,                 1.1033,                0.83282,                0.81571,                0.89297,                 0.5153,                0.25837,                0.49239,                 1.2615,              0.0076983,              0.0076983,              0.0076983
                     95,                0.26156,                0.51268,                 1.0885,                 0.8426,                0.78539,                0.88398,                0.51438,                0.25457,                0.50412,                 1.2492,              0.0076735,              0.0076735,              0.0076735
                     96,                0.25601,                0.51623,                  1.088,                 0.8384,                0.80701,                0.89388,                0.50924,                0.25754,                0.53084,                  1.264,              0.0076488,              0.0076488,              0.0076488
                     97,                0.25489,                0.51565,                 1.0861,                0.78392,                0.78766,                0.85639,                0.46648,                0.29886,                0.52733,                 1.3654,               0.007624,               0.007624,               0.007624
                     98,                0.25201,                0.53192,                 1.0816,                 0.7467,                0.82196,                0.87495,                0.49667,                0.28247,                0.57361,                  1.311,              0.0075993,              0.0075993,              0.0075993
                     99,                0.26769,                0.49928,                 1.0949,                0.81629,                0.84159,                0.89846,                0.52629,                 0.2585,                0.47798,                  1.247,              0.0075745,              0.0075745,              0.0075745
                    100,                0.25508,                0.50725,                 1.0633,                0.81315,                0.75697,                0.86312,                0.49191,                0.27712,                0.55524,                 1.3098,              0.0075498,              0.0075498,              0.0075498
