                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.27815,                0.74712,                 1.0831,                0.72841,                 0.6891,                0.76828,                0.38704,                0.25699,                0.73168,                 1.2391,              0.0091337,              0.0091337,              0.0091337
                     37,                 0.2754,                   0.74,                 1.0737,                0.71843,                0.68061,                0.76044,                0.42051,                 0.2382,                0.69746,                 1.1743,               0.009109,               0.009109,               0.009109
                     38,                0.27614,                0.73122,                 1.0755,                0.69761,                0.70461,                0.76622,                0.43033,                0.23882,                0.64265,                 1.1601,              0.0090843,              0.0090843,              0.0090843
                     39,                0.26656,                0.71634,                 1.0694,                0.67929,                0.71867,                0.76729,                0.42942,                0.23565,                0.68986,                 1.1611,              0.0090595,              0.0090595,              0.0090595
                     40,                0.26899,                0.72655,                 1.0641,                0.69877,                0.70114,                0.78041,                0.41508,                 0.2393,                0.69254,                 1.1809,              0.0090347,              0.0090347,              0.0090347
                     41,                 0.2659,                0.70503,                 1.0636,                0.68132,                0.68919,                0.75632,                 0.4271,                 0.2407,                0.69096,                 1.1638,                0.00901,                0.00901,                0.00901
                     42,                0.27044,                 0.6931,                 1.0636,                0.72433,                0.69039,                0.78052,                0.41877,                0.23697,                0.68469,                 1.1691,              0.0089853,              0.0089853,              0.0089853
                     43,                 0.2654,                0.69399,                 1.0652,                0.69693,                0.69138,                0.75784,                0.41814,                0.24626,                0.64795,                 1.1732,              0.0089605,              0.0089605,              0.0089605
                     44,                0.26162,                0.69835,                 1.0499,                0.75462,                0.71738,                0.80238,                0.43359,                0.23733,                0.64367,                 1.1618,              0.0089358,              0.0089358,              0.0089358
                     45,                0.26798,                0.69585,                 1.0573,                0.71831,                0.70975,                0.77127,                0.42711,                0.23548,                0.67218,                 1.1644,               0.008911,               0.008911,               0.008911
                     46,                0.26024,                0.69134,                 1.0632,                0.70272,                0.71485,                0.78373,                0.43196,                 0.2316,                0.66232,                 1.1577,              0.0088863,              0.0088863,              0.0088863
                     47,                0.25463,                0.68246,                 1.0547,                0.71524,                0.66293,                0.74929,                0.43084,                  0.236,                0.69889,                 1.1443,              0.0088615,              0.0088615,              0.0088615
                     48,                0.26261,                0.67733,                 1.0503,                0.73787,                0.68804,                 0.7733,                0.42693,                0.24708,                0.64647,                 1.1631,              0.0088368,              0.0088368,              0.0088368
                     49,                0.25618,                0.67563,                 1.0436,                 0.7283,                0.65922,                0.76651,                0.43219,                0.23312,                0.67569,                 1.1472,               0.008812,               0.008812,               0.008812
                     50,                0.24698,                0.66913,                 1.0424,                 0.7375,                0.70987,                0.79271,                0.45125,                0.22784,                0.66033,                 1.1242,              0.0087872,              0.0087872,              0.0087872
