                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.19922,                0.37885,                0.95027,                0.75624,                0.71025,                0.78954,                0.47512,                0.19907,                0.71644,                 1.0474,              0.0062132,              0.0062132,              0.0062132
                    155,                0.20077,                0.37257,                0.95356,                0.75582,                0.74529,                0.80619,                0.49282,                0.19528,                0.65214,                 1.0392,              0.0061885,              0.0061885,              0.0061885
                    156,                0.20121,                0.37079,                0.95241,                0.72595,                0.73066,                0.77491,                0.46655,                0.20003,                0.69148,                 1.0553,              0.0061637,              0.0061637,              0.0061637
                    157,                0.20785,                0.36152,                 0.9549,                0.75119,                0.72325,                0.79574,                0.47769,                 0.2001,                0.64265,                 1.0492,               0.006139,               0.006139,               0.006139
                    158,                0.20736,                0.37658,                0.95104,                0.73408,                0.76207,                0.80345,                0.48468,                0.20219,                0.65169,                 1.0458,              0.0061142,              0.0061142,              0.0061142
                    159,                0.20606,                0.36861,                0.95327,                0.77013,                0.74113,                0.80045,                0.47165,                0.19774,                0.67967,                 1.0573,              0.0060895,              0.0060895,              0.0060895
                    160,                0.20091,                0.36198,                 0.9497,                0.78093,                 0.7148,                0.80393,                0.48652,                0.19757,                0.62762,                 1.0445,              0.0060647,              0.0060647,              0.0060647
                    161,                0.20373,                0.36575,                0.95307,                0.77912,                0.70155,                0.78863,                0.48652,                0.19717,                 0.7157,                 1.0449,                0.00604,                0.00604,                0.00604
                    162,                0.20144,                0.35957,                0.95256,                0.76775,                0.73568,                0.80259,                0.48825,                0.19734,                0.68524,                 1.0401,              0.0060152,              0.0060152,              0.0060152
                    163,                0.20102,                0.36513,                 0.9493,                0.77472,                0.73034,                0.80985,                0.48566,                0.19638,                0.62513,                  1.045,              0.0059905,              0.0059905,              0.0059905
                    164,                0.19322,                0.35199,                0.94684,                0.78108,                0.72684,                 0.8071,                0.49045,                0.19472,                 0.6454,                  1.038,              0.0059658,              0.0059658,              0.0059658
